
Активные подключения

  Имя    Локальный адрес        Внешний адрес          Состояние
  UDP    192.168.56.1:1900      *:*                    
  UDP    192.168.56.1:2177      *:*                    
  UDP    192.168.56.1:5353      *:*                    
  UDP    192.168.56.1:5353      *:*                    
  UDP    192.168.56.1:54231     *:*                    
  UDP    192.168.100.123:137    *:*                    
  UDP    192.168.100.123:138    *:*                    
  UDP    192.168.100.123:1900   *:*                    
  UDP    192.168.100.123:2177   *:*                    
  UDP    192.168.100.123:5353   *:*                    
  UDP    192.168.100.123:54232  *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:3702              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5355              *:*                    
  UDP    [::]:49477             *:*                    
  UDP    [::]:52657             *:*                    
  UDP    [::]:59307             *:*                    
  UDP    [::]:61118             *:*                    
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:5353             *:*                    
  UDP    [::1]:5353             *:*                    
  UDP    [::1]:54230            *:*                    
  UDP    [fe80::80e8:2a70:81f6:a899%24]:1900  *:*                    
  UDP    [fe80::80e8:2a70:81f6:a899%24]:2177  *:*                    
  UDP    [fe80::80e8:2a70:81f6:a899%24]:54228  *:*                    
  UDP    [fe80::f0ef:b34f:2c81:5519%21]:1900  *:*                    
  UDP    [fe80::f0ef:b34f:2c81:5519%21]:2177  *:*                    
  UDP    [fe80::f0ef:b34f:2c81:5519%21]:54229  *:*                    
